序号	语料
396		 ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m 、/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꉂ/v ꀞꐕꀣꀋꂄ/nh ꀒ/vl {ꄷ}ꈨ/q ꄲꃅꇷꉻ/r ꀊ/u ꀑꑊ/n ？/w 
397		 ꑍ/m 、/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꉂ/v "/w ꀞꐕꀣꀋꂄ/nh {ꑘ}ꃅꁱꐘ/n "/w (ꐔ)ꌊ;ꄐ{...}ꌠꉨ/n ꇿꃹ/v ？/w 
398		 ꀉꑌ/m 、/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀒꀉꁘ/d ꀋꎪꀉꁘ/v ꀞꐕꀣꀋꂄ/nh ？/w 
399		 ꇖ/m 、/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꈍꃅꇷꉻ/r ꁌꀥ;ꉉꄟ /v ꀞꐕꀣꀋꂄ/nh ꃹ/p ꀉꁘ/v ꄮꇬ /nt ꀊ/u ꅐꌞꀈ꒜/n ？/w 
400		 ꆿ/m 、/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꉂ/v ꇔꀁꋌꊰ/v ꀞꐕꀣꀋꂄ/nh ꄉꅍ/n ꀊ/u ꁰꄻꁈ/n ...ꌠꌡꇿ/r ？/w 
401		 ꃘ/m 、/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꉂ/v ꀞꐕꀣꀋꂄ/nh ꀀꀨ/p ꇔ/v ꄉꅍ/n ꃰꃅ/nd ꀋꃋꃹ/nt (ꁬꋌꋍ)ꀧ ꀋꎪ/v ꇪꌦ/n ꀊ/u ꃆꂮ /n ...ꌠꌡꇿ/r ？/w 
402		 ꏃ/m 、/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꉂ/v ꀁꋌꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꀯ/n {ꎆ}ꁯ /vu ꈍꃅꀞ/v ？/w 
403		 ꃹ/p ꃅꐙ /v ...ꃅꀨꎹ/v ꀉꇨꀊꂥꅉ{ꃅꑍ}ꄡꄉ/n ꀊ/u ꃆꂮ/n ꀁꋌ/nd ，/w ꁰꄻꁧ/v ꀑꑊ口/n ꁖ...ꃅ...ꐨ/n ꀋꇎ/c ꄉꀋꋪꃅꐙ/a ꁦꎆ...ꐨ/n ꀉꄂꀒ/d ꀋꋌꉬꀀ/v ꁦꎆ/v ，/w ꀒ/vl ꀉꉙ/d ꈝꐮ /a ꀊ/u ，/w ꄚ/r ...ꌋꆀꐯꌟ/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀋꇎ/c ꀉꑌꀉꇨ/a ꄐꎖ...ꃅꀨꎹ/i {ꑍ}ꃅ...ꅉꆹ/n ꀊ/u {ꂱꀯ}ꄂꄐꅍ/v ꀒ/vl ꀊꅰꃅ/v ꀉꉙ/d {ꐻ}ꐯ/v ꀊ/u 。/w 
404		 ꁠꄉꄚ{ꉌ}ꉪꀞ/i ，/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꁧꎁ/v ꄈ{ꄉ}ꄐꆏ/n 、/w {ꇩꏤꇬ}ꀉꇨꌠꀋꎪꅉ/ni ꂯꄉ/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ，/w ꀙ/c ꀋꋍꀈ꒜/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꂯꄉ/p {ꇁ}ꋋ{ꇩꏤꇬ}ꀉꇨꌠ/n ꄐꎖ...ꃅꀨꎹ/i ꀂꏽ /n ꀊ/u ...ꌋꆀꐯꌟꁱ(ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /n ，/w {ꉌꊋꑠ}ꏓꋧꂾ/v ꉈꇬꑗꇬ /a ꀊ/u {ꍤ}ꅲꃅꄡ/v ꀋꇎ/c ꄸꈐꃅꄡ/a ꀊ/u ꈀꎭꀕ/v 。/w 
405		 ...ꄮ/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀋꇈ/p ꇣꋲ /d ꀉꇖꀋꂿꑘ/a ꀊ/u ꀋꎪꀿ/n ꄖ...ꁵꁧ/v ꀉꁁ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r {ꈐ}ꉈꀋꉊ/nd ꀋꃋ/nt ，/w ꀉꁁ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r {ꆅ}ꌒ{ꌬ}ꐓ/vu ꀋ{ꉌ}ꐡꁳꄸꈐ/i 。/w 
406		 "/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꁢꊧꄲꃅ/r ꀉꉙ/d ꀱ/v {ꉪꇩꏤꑵꉙ}ꃚꌐꀉꑌ/ns ？/w "/w 
407		 {ꈜ}ꀦ...ꌠꌡ/p ꁭꐚ /nd ꇐꀳ /n {ꀋꉊꃀꂽ}ꍆꅉ/u (ꅇ)ꉉ/v ：/w {ꉪꇩꏤꑵꉙ}ꃚꌐꂿꃅꌦꌺ/n (ꌗ)ꉻ;ꊨꏈ;ꀊꁪ/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꁖ...ꃅ/v ，/w ꀉꄂ/d ꀞ/vu ꁳ/p  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꇷꉻ/n ꂿꃅꀉꄂ/n 。/w 
408		 ꂿꃅꂿꃅꌦꌺꀑꑊ/n ꁢꊧꄚ/d ꄜꅍ识ꁧ/v ：/w ꀒ/p ꀉꁁ{ꇩꏤꇬ}ꀉꇨꌠꀑꑊ/n ꂱꇪ /a ꀋꑍꊂ/v ，/w ꃹ/p {ꇩꏤꇬ}ꀉꇨꌠꄮꇬ/n ꃷꅉ...ꅉ/n {ꉪꇩꏤꑵꉙ}ꃚꌐ/nd {ꋍꑍ...}ꆏ/vd {ꄷ}ꈨ/q  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀋ/v ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀀ/v ，/w {ꋍꑍ...}ꆏ/vd {ꄷ}ꈨ/q  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀀ/v ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꂄ /a ，/w ꀊꄶ/r ꀉꄂꀒ/vl ꀉꒆꅉ...ꋐ{ꑘ}ꃅ/n ！/w 
409		 ꀉꉙ/d ꀋꎪ/v ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀋꉊ/v {ꆅ}ꄻ/v {ꆅ}ꄻ/v {ꇩꏤꇬ}ꀉꇨꌠꂄ/v ꀊ/u (ꁬꋌꋍ)ꀧ ꃢꈜ/n ꁸꊌ...ꅉ/n ，/w ꀋꇈ{ꏯ}ꀋꋌ/a ꃷꌒ /v ꀿ{ꋍ}ꑵ/n ꀉꄂꀒ/d ꁖꄉ/v ꏦꈐꏦꉈ{ꑭꐱꁯꌺ}ꄖꀐ/n ꀊꋨ/u ꇇ /n ，/w ꀊꄸꄷ/c ꁁꑳꃰꃅ/nl ꀋꄝꆸꉈꀋꆅ/i ꆹ/k ，/w ꀉꉙꀋꇎ/v "/w ꁭꅐꁧ...ꈭꐨ(ꐔ)ꌊ;ꄐ/i "/w ꀊ/u {ꄷ}ꈨꁱꄜ/n (ꁬꋌꋍ)ꀧ ꃢꈜ/n ...ꇨꀃꈈ/n 。/w 
410		 ꀉꄂꀒ/c ，/w ꀋꄸꄷ/c  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀊ/u ꇱꎆ /v ꃅꄡꀞ/n ꀒ/vl ꀐ /c ꂿꉂ/v ꀋꂿꑘ/vu ꂶꂷꈲ/a ，/w ꀉꁁ/d ꀉꉙꂿꉂ/v ꀋꅲꃨꆰꅍ/v ꀊꅇ/u ，/w ꀊꄶ/r  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀉꉙꄉꇤ/d ꀍꇤ/v ꀍꇤ/v ꀈꈥꀨꎹꇬꊎꄉ...ꇱꎼ{ꂒ}ꋉ/i ꀋꎪ{ꃅꑍ}ꄡꄉ/v ꊬꎆ /n ꀊ/u "/w ꀀꁈꄰꄜꅍ/n "/w 。/w 
411		 {...}ꌠꉨꁢꊧ/c ꀈꈥꀨꎹꇬꊎꄉ...ꇱꎼ{ꂒ}ꋉ/i ꀊ/u ꁣꀋꐥ...ꐨ/n ꃹ/p ꀨꎹꇬꊎꄉ{ꃅꑍ}ꄡꄉ/nt ꃰꃅꑷꂿ/nd "/w ꀉꄂ/v ꀉꇨ/a ꀉꉙ/d ꀉꄂꀁꂥ/v "/w （/w ...ꌠꌡ/v ꁵ /v ꀊꐎ...ꑘ/n ꁣꀋꐥ...ꐨ/n ꀁꋌꁆ/v ，/w ꀈꈥꀨꎹꇬꊎꄉ...ꇱꎼ{ꂒ}ꋉ/i ꀊ/u ꁣꀋꐥ...ꐨ/n ꀉꉙ/d ꀁꋌꁆ/v ）/w ，/w ꀊꄶ么/r ꆂ/m ꃅꈎ/nt ꀊꋨꃰꃅ/nt ꀋꂿꑘ/vu {ꐻ}ꐯ/v ꀊ/u ３/m ꃅꈎ/nt {ꃅꑍ}ꄡꄉ/nt ...ꇱꎼ/a ꀨꎹꇬꊎꄉ/v ...ꇱꎼ{ꂒ}ꋉ/v ꁣꀋꐥ...ꐨ/n {ꆅ}ꌒ{ꌬ}ꐓ/vu ꀞ/vu ꀁꂥꁳ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r {ꀋꉊꃀꂽ}ꍆꅉ/u {ꐻ}ꐯ/v ５/m ꃅꈎ/nt {ꃅꑍ}ꄡꄉ/nt ꀈꈥꀨꎹꇬꊎꄉ...ꇱꎼ{ꂒ}ꋉ/i ꀊ/u ꁣꀋꐥ...ꐨ/n -/w -/w ꀉꄂ/c ꄣ(ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀊ/u ꁧ{ꃅꑍ}ꄡꄉ/v ꀋꃋ{ꐯ}ꀋꋽ/n {ꃰꃅ}ꂱꈈ...ꌋꆀꐯꌟ/a 。/w 
412		 ꃅꅍ/n ꀊ/u ꀉꇨ{ꃰꃅ}ꂱꈈ/n ꂯ/d ꀀ/v {ꄷ}ꈨ/q {ꉌ}ꉪꀞ/n ꃅꅍꁱ/n ，/w {ꉌ}ꉪꀞ/n {ꋍꑍ...}ꆏ/vd ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ，/w ꀋꀀ/v "/w ꀉꒉꌠ {ꉪꇩꏤꑵꉙ}ꃚꌐ/d ꀉꄂ/d ꀞ/v "/w ꀊ/u ꆹꐪ /n ，/w ꀉꇖ/a ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꀯ/n ꀉꄂ/d {ꑽꏃ}ꏠꀈ꒜/v ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u {ꉌ}ꉪꀞ/n ，/w ꀉꇖ/a ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ꀯ/n ꀉꄂ/d ...ꃅꁖ/v ꀋꇈ{ꏯ}ꀋꋌ/a {ꑘ}ꃅ/n ꀉꁁ/nd ꀊꋨ/u {ꑘ}ꃅ/n ，/w ...ꃅꁖ/v ꀋꇈ{ꏯ}ꀋꋌ/a ꀒ/n ，/w ꇨꀋꋌꉬ/d ꀿ...ꃅ/v ꀋꇈ{ꏯ}ꀋꋌ/a ꀋꋌꉬ /a ꀊ/u ꏦꉅ /n ，/w ꄉꇤꀀ/v ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀞ{ꑘ}ꃅ/v ꀊ/u ꁱꆽ /n 。/w 
413		 ꃅꈎꀁꄸ/a ꀊ/u ...ꄺꅉꀉꒉ/n ꈍꄮꑌ/d ꀋꎺ/v ꀉꉙꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /v ꀋꉊꀉꁘ/n ꃷꅉꀉꒉ/n ...ꋻ/d ꃅꅍ/v ꀈ꒜/u ꀊ/u ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꅇꂷꅇ/n ：/w "/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꁳ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀊꎴꁱꐘ/n ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r {ꌬ}ꐓꀉꉙ{ꌬ}ꐓ/i ...ꄮ/v '/w ꀊꅪ /n ꀑꁮꐨ...ꋐꀁꇬ/n '/w ？/w "/w 
414		 ꄬꁦꀮ/ns ꀊ/u {ꇩꏤꇬ}ꀉꇨꌠꂄ/v ꁸꊌꀐ/n ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꀁꋌ /d 处ꃹ/v ꀀꁈꄰꀉꑳ/a ꃄꁕꂒꅉ/n ，/w ꀀꀑꑊ/r ꃅꅍ/v ꁸꊌ...ꅉ/n (ꑱꉌ)ꏿꀞ/n ，/w ꃷꎏꁱꄜ/n 、/w {ꄷ}ꈨꁱꄜ/n ꀱ {ꉪꇩꏤꑵꉙ}ꃚꌐ/v {ꋍꑍ...}ꆏ/vd ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꈍꃅꀞ/v ？/w 
415		 ꅱꀋꅐ /d 记ꆹ/n ꀖꌵ/v ꀊ/u ꀉꄂꀉꄂꀒ/v ꄬꁦꀮ/ns ꄺꀱ /v ...ꄲ /n {ꄉ}ꄐ/nd ꀊ/u ꀋꇈꃅ/m ꀮ/q {ꈎꄜ}ꀄꊭꌠ/a ꒊꊨꐎ/n ，/w ꀉꄂ/c ꄣ(ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꄙ/d ꀋꇈ/v ꃹ/d ꀠ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ：/w ꄬꁦꀮ/ns ꀒ/vl ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /m ...ꃥ /q ...ꃅ{ꉌ}ꉪꄓꄓ/i ꃄꁕ/u ꇓꃷꅉ/n ，/w ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w {ꃄꁕ}ꋍꁕ/mq ...ꇎ /v ꉘꇉ/v ꀊ/u ꀉꇨꃅꁻꃑꌠꀉꁘ/n 。/w 
416		 ꀀꀑꑊ/r ꃅꅍ/v ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꀁꇬ/mq ꏹꑮ/n ...ꄺꅉ/n ꀊ/u ...ꇨꀃꈈ/n ：/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀉꉙ/d {ꆅ}ꌒꂾ/vu ꀋꇈ/p ꏹꑮ/n ꁰꄻ{ꀋ}ꉆ/v ꀎ/a ꀐ {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ꈨ/m ，/w ꀥꇱ /v ꈨ/q ꁌ /n ꁖꃷ/v ꀞꅀ/u ？/w 
417		 ꀠꀋꄿꁁꏯ/n ꀉꉙꀋꈐꀋꉈ/a ，/w ꄆꂷꇭ /n ꀉꉙ{ꃅ}ꄜ/a ，/w {ꄆ}ꅥꅇ/n ꀉꉙꂶꋽ/a ，/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀋꂿꑘ/vu ꀀ/v ꉂꂿꉂ/n ꂿꉂ/v 。/w 
418		 ꄚꀱ/r {ꆅ}ꄻ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀊ/u ꀐ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /u 。/w "/w 
419		 ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ...ꇬꉜ/v ꋌ/r ...ꏭꇁꀋꑇ/v ，/w "/w ꀂ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꂯ/d ...ꇬꎷꃹ/v ，/w ꀉꉙ/d ꀋꎪ/v  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꈌꑟ/v ꈌꑟ/v 。/w "/w 
420		 ꋚꃰꃅ/nt {ꍯꋍ}ꇷ /v {ꈎꄜ}ꀄꊭꌠ莉/nhs ꀉꉙ/d ꃹ/v ，/w ꂛꊨꂛꊨ/n {ꑓꂷ}ꍻ /v {ꃢꈜ}ꈚ/n ꅳꁖ/n (ꅇ)ꉉ/v ：/w "/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꈍꃅ/r ꀉꄂ /d ꀋꅲ/v ꆹꍑꇱꂿꃅ/a ，/w (ꌗ)ꉻ;ꊨꏈ;ꀊꁪ/p ꋌ/r {ꆅ}ꄻ/v ꀊꋨꄮ (ꃶ)ꊈ	 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w /r ꀁꇬ/n ꃹ/v ꀊꋨꄮꃭꇤ/n ？/w "/w 
421		 "/w  [ꅽ		 {ꋍꑍ...}ꆏ /vd ，/w ꀂ /r ꁥ ꎖꅇ/v  [ꅽ ] /r ꀋꇈ /p ꅍ /n ꆜꀁꋌ/v 。/w “/w ] /r ꀉꉙꀒ/vl ...ꇬꎷꃹ/v ꀞꅀ/u ？/w "/w 
